(1105, 47, 1104)
(1105, 943, 576)
(1105, 817, 744)
(1105, 1073, 264)
(1109, 141, 1100)
(1117, 235, 1092)
(1129, 329, 1080)
(1145, 423, 1064)
(1145, 903, 704)
(1153, 1025, 528)
(1157, 765, 868)
(1157, 1155, 68)
(1165, 517, 1044)
(1165, 1147, 204)
(1181, 1131, 340)
(1189, 989, 660)
(1189, 611, 1020)
(1193, 855, 832)
(1201, 49, 1200)
(1205, 147, 1196)
(1205, 1107, 476)
(1213, 245, 1188)
(1217, 705, 992)
(1229, 1221, 140)
(1237, 1075, 612)
(1241, 1209, 280)
(1241, 441, 1160)
(1249, 799, 960)
(1261, 1189, 420)
(1261, 539, 1140)
(1277, 1035, 748)
(1285, 893, 924)
(1285, 637, 1116)
(1289, 1161, 560)
(1297, 1295, 72)
(1301, 51, 1300)
(1313, 255, 1288)
(1313, 735, 1088)
(1321, 1271, 360)
(1325, 987, 884)
(1325, 357, 1276)
(1345, 833, 1056)
(1345, 1247, 504)
(1361, 561, 1240)
(1369, 1081, 840)
(1373, 1365, 148)
(1381, 931, 1020)
(1385, 1353, 296)
(1385, 663, 1216)
(1405, 1333, 444)
(1405, 53, 1404)
(1409, 159, 1400)
(1417, 265, 1392)
(1417, 1175, 792)
(1429, 371, 1380)
(1433, 1305, 592)
(1445, 1443, 76)
(1445, 477, 1364)
(1453, 1435, 228)
(1465, 583, 1344)
(1465, 1127, 936)
(1469, 1269, 740)
(1469, 1419, 380)
(1481, 969, 1120)
(1489, 689, 1320)
(1493, 1395, 532)
(1513, 1225, 888)
(1513, 55, 1512)
(1517, 165, 1508)
(1517, 795, 1292)
(1525, 1363, 684)
(1525, 1517, 156)
(1537, 1505, 312)
(1537, 385, 1488)
(1549, 901, 1260)
(1553, 495, 1472)
(1565, 1173, 1036)
(1565, 1323, 836)
(1585, 1457, 624)
(1585, 1007, 1224)
(1597, 715, 1428)
(1601, 1599, 80)
(1609, 1591, 240)
(1613, 1275, 988)
(1621, 1421, 780)
(1625, 1113, 1184)
(1625, 57, 1624)
(1637, 285, 1612)
(1649, 399, 1600)
(1649, 1551, 560)
(1657, 935, 1368)
(1669, 1219, 1140)
(1681, 1519, 720)
(1685, 1677, 164)
(1685, 627, 1564)
(1693, 1045, 1332)
(1697, 1665, 328)
(1709, 741, 1540)
(1717, 1645, 492)
(1717, 1325, 1092)
(1721, 1479, 880)
(1733, 1155, 1292)
(1741, 59, 1740)
(1745, 1617, 656)
(1745, 177, 1736)
(1753, 295, 1728)
(1765, 413, 1716)
(1765, 1763, 84)
(1769, 969, 1480)
(1769, 1431, 1040)
(1777, 1265, 1248)
(1781, 1581, 820)
(1781, 531, 1700)
(1789, 1739, 420)
(1801, 649, 1680)
(1825, 767, 1656)
(1825, 1537, 984)
(1853, 1845, 172)
(1853, 885, 1628)
(1861, 61, 1860)
(1865, 1833, 344)
(1865, 183, 1856)
(1873, 305, 1848)
(1877, 1485, 1148)
(1885, 1813, 516)
(1885, 427, 1836)
(1885, 1643, 924)
