('script.搜索冫伪素数牜临近幂方._0worker_', (24, 2, 4, [2, 3, 5, 7]), {})
(24, 127, -4, (2, 3, 5, 7), [-83, -701, -851, -1021], [77, 155, 247, 1465])
(24, 128, -4, (2, 3, 5, 7), [-505, -733, -799, -1079], [553, 725, 1235, 1331])
(24, 129, -4, (2, 3, 5, 7), [-311, -373, -1045, -1445], [905, 1087, 1165, 1189])
(24, 130, -4, (2, 3, 5, 7), [-175, -247, -533, -605], [305, 431, 683, 707])
(24, 131, -4, (2, 3, 5, 7), [-455, -611, -793, -1247], [545, 1313, 1975, 2107])
(24, 132, -4, (2, 3, 5, 7), [-493, -809, -1117, -1735], [17, 65, 1307, 1337])
(24, 133, -4, (2, 3, 5, 7), [-53, -413, -1997, -2191], [337, 365, 395, 1099])
(24, 134, -4, (2, 3, 5, 7), [-899, -983, -2297, -2399], [913, 1771, 1831, 2027])
(24, 135, -4, (2, 3, 5, 7), [-283, -673, -1705, -3661], [913, 2099, 3667, 4373])
(24, 136, -4, (2, 3, 5, 7), [-905, -983, -1007, -1253], [1247, 1777, 1855, 2107])
(24, 137, -4, (2, 3, 5, 7), [-133, -521, -563, -1477], [973, 2147, 2587, 2663])
(24, 138, -4, (2, 3, 5, 7), [-1099, -2749, -3397, -3415], [7, 71, 953, 1937])
(24, 139, -4, (2, 3, 5, 7), [-403, -673, -1001, -1063], [415, 1273, 1627, 1879])
(24, 140, -4, (2, 3, 5, 7), [-157, -857, -1649, -1819], [41, 583, 1025, 1541])
(24, 141, -4, (2, 3, 5, 7), [-11, -215, -1775, -2245], [815, 877, 1105, 1445])
(24, 142, -4, (2, 3, 5, 7), [-853, -1009, -1163, -1279], [1645, 1843, 2045, 2231])
(24, 143, -4, (2, 3, 5, 7), [-2027, -2143, -2165, -3331], [893, 1439, 2939, 3455])
(24, 144, -4, (2, 3, 5, 7), [-383, -689, -725, -1573], [191, 427, 871, 1435])
(24, 145, -4, (2, 3, 5, 7), [-433, -785, -961, -1213], [385, 425, 737, 1015])
(24, 146, -4, (2, 3, 5, 7), [-445, -1217, -1303, -1685], [265, 487, 521, 653])
(24, 147, -4, (2, 3, 5, 7), [-515, -995, -1831, -2005], [665, 1589, 1733, 1777])
(24, 148, -4, (2, 3, 5, 7), [-505, -2009, -2417, -2833], [7, 331, 1327, 2261])
(24, 149, -4, (2, 3, 5, 7), [-671, -1193, -1325, -1387], [209, 437, 1153, 1513])
