名称	组	配置文件	已启用	操作	替代	程序	本地地址	远程地址	协议	本地端口	远程端口	许可的用户	许可的计算机	
Windows Media Player 网络共享服务(HTTP-Streaming-In)	Windows Media Player 网络共享服务	专用	否	允许	否	System	任何	本地子网	TCP	10243	任何	任何	任何	
Windows Media Player 网络共享服务(HTTP-Streaming-In)	Windows Media Player 网络共享服务(Internet)	域, 专用	否	允许	否	System	任何	任何	TCP	10245	任何	任何	任何	
Windows Media Player 网络共享服务(HTTP-Streaming-In)	Windows Media Player 网络共享服务	公用	否	允许	否	System	任何	本地子网	TCP	10243	任何	任何	任何	
Windows Media Player 网络共享服务(HTTP-Streaming-In)	Windows Media Player 网络共享服务	域	否	允许	否	System	任何	任何	TCP	10243	任何	任何	任何	
Windows Media Player x86 (UDP-In)	Windows Media Player	专用	否	允许	否	%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe	任何	任何	UDP	任何	任何	任何	任何	
Windows Media Player x86 (UDP-In)	Windows Media Player	域, 公用	否	允许	否	%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe	任何	任何	UDP	任何	任何	任何	任何	
Windows Media Player (UDP-In)	Windows Media Player	域, 公用	否	允许	否	%ProgramFiles%\Windows Media Player\wmplayer.exe	任何	任何	UDP	任何	任何	任何	任何	
Windows Media Player (UDP-In)	Windows Media Player	专用	否	允许	否	%ProgramFiles%\Windows Media Player\wmplayer.exe	任何	任何	UDP	任何	任何	任何	任何	
Windows Management Instrumentation (WMI-In)	Windows Management Instrumentation (WMI)	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	任何	任何	任何	任何	
Windows Management Instrumentation (WMI-In)	Windows Management Instrumentation (WMI)	专用, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	任何	任何	任何	任何	
Windows Management Instrumentation (DCOM-In)	Windows Management Instrumentation (WMI)	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	135	任何	任何	任何	
Windows Management Instrumentation (DCOM-In)	Windows Management Instrumentation (WMI)	专用, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	135	任何	任何	任何	
Windows Management Instrumentation (ASync-In)	Windows Management Instrumentation (WMI)	域	否	允许	否	%systemroot%\system32\wbem\unsecapp.exe	任何	任何	TCP	任何	任何	任何	任何	
Windows Management Instrumentation (ASync-In)	Windows Management Instrumentation (WMI)	专用, 公用	否	允许	否	%systemroot%\system32\wbem\unsecapp.exe	任何	本地子网	TCP	任何	任何	任何	任何	
WeChat		域	否	允许	否	C:\Program Files (x86)\Tencent\WeChat\WeChat.exe	任何	任何	任何	任何	任何	任何	任何	
WeChat		专用, 公用	否	允许	否	C:\Program Files (x86)\Tencent\WeChat\WeChat.exe	任何	任何	任何	任何	任何	任何	任何	
ThunderPlatform1.1.2.266		公用	否	允许	否	C:\Program Files (x86)\Common Files\Thunder Network\TP\Ver1\1.1.2.266_1111\ThunderPlatform.exe	任何	任何	TCP	任何	任何	任何	任何	
ThunderPlatform1.1.2.266		公用	否	允许	否	C:\Program Files (x86)\Common Files\Thunder Network\TP\Ver1\1.1.2.266_1111\ThunderPlatform.exe	任何	任何	UDP	任何	任何	任何	任何	
ThunderMPServer1.1.2.21		公用	否	允许	否	C:\Program Files (x86)\Common Files\Thunder Network\TMP\Ver1\1.1.2.21_0\ThunderMPServer.exe	任何	任何	UDP	任何	任何	任何	任何	
ThunderMPServer1.1.2.21		公用	否	允许	否	C:\Program Files (x86)\Common Files\Thunder Network\TMP\Ver1\1.1.2.21_0\ThunderMPServer.exe	任何	任何	TCP	任何	任何	任何	任何	
ThunderMini1.5.3.288		公用	否	允许	否	C:\Program Files (x86)\Thunder Network\MiniThunder\bin\ThunderMini.exe	任何	任何	UDP	任何	任何	任何	任何	
ThunderMini1.5.3.288		公用	否	允许	否	C:\Program Files (x86)\Thunder Network\MiniThunder\bin\ThunderMini.exe	任何	任何	TCP	任何	任何	任何	任何	
ThunderLAN(UDP)		专用, 公用	否	允许	否	任何	任何	任何	UDP	33674	任何	任何	任何	
ThunderLAN(TCP)		专用, 公用	否	允许	否	任何	任何	任何	TCP	33673	任何	任何	任何	
Thunder9.1.25.604		公用	否	允许	否	C:\Program Files (x86)\Thunder Network\Thunder\Program\Thunder.exe	任何	任何	TCP	任何	任何	任何	任何	
Thunder9.1.25.604		公用	否	允许	否	C:\Program Files (x86)\Thunder Network\Thunder\Program\Thunder.exe	任何	任何	UDP	任何	任何	任何	任何	
Thunder7.10.35.366		公用	否	允许	否	C:\Program Files (x86)\Thunder Network\Thunder\Program\Thunder.exe	任何	任何	TCP	任何	任何	任何	任何	
Thunder7.10.35.366		公用	否	允许	否	C:\Program Files (x86)\Thunder Network\Thunder\Program\Thunder.exe	任何	任何	UDP	任何	任何	任何	任何	
Sogou Pinyin Service		公用	否	允许	否	C:\Program Files (x86)\SogouInput\5.2.0.5225\PinyinUp.exe	任何	任何	TCP	任何	任何	任何	任何	
Sogou Pinyin Service		公用	否	允许	否	C:\Program Files (x86)\SogouInput\5.2.0.5225\PinyinUp.exe	任何	任何	UDP	任何	任何	任何	任何	
SNMP Trap Service (UDP In)	SNMP Trap	域	否	允许	否	%SystemRoot%\system32\snmptrap.exe	任何	任何	UDP	162	任何	任何	任何	
SNMP Trap Service (UDP In)	SNMP Trap	专用, 公用	否	允许	否	%SystemRoot%\system32\snmptrap.exe	任何	本地子网	UDP	162	任何	任何	任何	
seup.exe		公用	否	允许	否	C:\Users\Administrator\AppData\Roaming\360se6\Application\8.1.1.248\installer\seup.exe	任何	任何	UDP	任何	任何	任何	任何	
seup.exe		公用	否	允许	否	C:\Users\Administrator\AppData\Roaming\360se6\Application\8.1.1.248\installer\seup.exe	任何	任何	TCP	任何	任何	任何	任何	
Remote Desktop - RemoteFX (UDP-In)	远程桌面 - RemoteFX	所有	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	UDP	3389	任何	任何	任何	
QQ International		公用	否	允许	否	C:\Program Files (x86)\Tencent\QQIntl\Bin\QQ.exe	任何	任何	UDP	任何	任何	任何	任何	
QQ International		公用	否	允许	否	C:\Program Files (x86)\Tencent\QQIntl\Bin\QQ.exe	任何	任何	TCP	任何	任何	任何	任何	
Netlogon 服务(NP-In)	Netlogon 服务	所有	否	允许	否	System	任何	任何	TCP	445	任何	任何	任何	
MiniThunderPlatform.exe		公用	否	允许	否	C:\Users\Administrator\AppData\Roaming\360se6\Application\8.1.1.248\download\MiniThunderPlatform.exe	任何	任何	TCP	任何	任何	任何	任何	
MiniThunderPlatform.exe		公用	否	允许	否	C:\Users\Administrator\AppData\Roaming\360se6\Application\8.1.1.248\download\MiniThunderPlatform.exe	任何	任何	UDP	任何	任何	任何	任何	
Media Center Extender - 媒体流(TCP-In)	Media Center Extender	所有	否	允许	否	System	任何	本地子网	TCP	2869	任何	任何	任何	
Media Center Extender - XSP (TCP-In)	Media Center Extender	所有	否	允许	否	System	任何	本地子网	TCP	3390	任何	任何	任何	
Media Center Extender - WMDRM-ND/RTP/RTCP (UDP-In)	Media Center Extender	所有	否	允许	否	%SystemRoot%\ehome\ehshell.exe	任何	本地子网	UDP	7777, 7778, 7779, 7780, 7781, 5004, 5005, 50004, 50005, 50006, 50007, 50008, 50009, 50010, 50011, 50012, 50013	任何	任何	任何	
Media Center Extender - SSDP (UDP-In)	Media Center Extender	所有	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	1900	任何	任何	任何	
Media Center Extender - RTSP (TCP-In)	Media Center Extender	所有	否	允许	否	%SystemRoot%\ehome\ehshell.exe	任何	本地子网	TCP	554, 8554, 8555, 8556, 8557, 8558	任何	任何	任何	
Media Center Extender - qWave (UDP-In)	Media Center Extender	所有	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	2177	任何	任何	任何	
Media Center Extender - qWave (TCP-In)	Media Center Extender	所有	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	2177	任何	任何	任何	
Media Center Extender - HTTP 流(TCP-In)	Media Center Extender	所有	否	允许	否	System	任何	本地子网	TCP	10244	任何	任何	任何	
iSCSI 服务(TCP-In)	iSCSI 服务	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	任何	任何	任何	任何	
iSCSI 服务(TCP-In)	iSCSI 服务	专用, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	任何	任何	任何	任何	
ikuacc		专用, 公用	否	允许	否	C:\Users\Administrator\AppData\Roaming\youku\..\ytmediacenter\ikuacc.exe	任何	任何	任何	任何	任何	任何	任何	
ikuacc		域	否	允许	否	C:\Users\Administrator\AppData\Roaming\youku\..\ytmediacenter\ikuacc.exe	任何	任何	任何	任何	任何	任何	任何	
ikuacc		专用, 公用	否	允许	否	C:\Users\Administrator\AppData\Roaming\youku\..\ytmediacenter\ikuacc.exe	任何	任何	任何	任何	任何	任何	任何	
ikuacc		域	否	允许	否	C:\Users\Administrator\AppData\Roaming\youku\..\ytmediacenter\ikuacc.exe	任何	任何	任何	任何	任何	任何	任何	
ikuacc		域	否	允许	否	C:\Users\Administrator\AppData\Roaming\youku\..\ytmediacenter\ikuacc.exe	任何	任何	任何	任何	任何	任何	任何	
ikuacc		专用, 公用	否	允许	否	C:\Users\Administrator\AppData\Roaming\youku\..\ytmediacenter\ikuacc.exe	任何	任何	任何	任何	任何	任何	任何	
FiddlerProxy		专用, 公用	否	允许	否	C:\Program Files (x86)\Fiddler2\Fiddler.exe	任何	任何	TCP	任何	任何	任何	任何	
FiddlerProxy		域	否	允许	否	C:\Program Files (x86)\Fiddler2\Fiddler.exe	任何	任何	TCP	任何	任何	任何	任何	
Daemonu.exe		公用	否	允许	否	C:\Program Files (x86)\NVIDIA Corporation\NVIDIA Updatus\daemonu.exe	任何	任何	UDP	任何	任何	任何	任何	
Daemonu.exe		公用	否	允许	否	C:\Program Files (x86)\NVIDIA Corporation\NVIDIA Updatus\daemonu.exe	任何	任何	TCP	任何	任何	任何	任何	
BranchCache 托管缓存服务器(HTTP-In)	BranchCache - 托管缓存服务器(使用 HTTPS)	所有	否	允许	否	SYSTEM	任何	任何	TCP	443	任何	任何	任何	
BranchCache 内容检索(HTTP-In)	BranchCache - 内容检索(使用 HTTP)	所有	否	允许	否	SYSTEM	任何	任何	TCP	80	任何	任何	任何	
BranchCache 对等机发现(WSD-In)	BranchCache - 对等机发现(使用 WSD)	所有	否	允许	否	%systemroot%\system32\svchost.exe	任何	本地子网	UDP	3702	任何	任何	任何	
360手机助手-连接模块		所有	否	允许	否	C:\Program Files (x86)\360\360safe\mobilemgr\360MobileLink.exe	任何	任何	TCP	任何	任何	任何	任何	
360手机助手		所有	否	允许	否	C:\Program Files (x86)\360\360Safe\mobilemgr\360MobileMgr.exe	任何	任何	TCP	任何	任何	任何	任何	
