名称	组	配置文件	已启用	操作	程序	本地地址	远程地址	协议	本地端口	远程端口	许可的计算机	
到网络投影仪的连接(WSD-Out)	连接到网络投影仪	所有	否	允许	%SystemRoot%\system32\netproj.exe	任何	本地子网	UDP	任何	3702	任何	
到网络投影仪的连接(TCP-Out)	连接到网络投影仪	专用, 公用	否	允许	%SystemRoot%\system32\netproj.exe	任何	本地子网	TCP	任何	任何	任何	
到网络投影仪的连接(TCP-Out)	连接到网络投影仪	域	否	允许	%SystemRoot%\system32\netproj.exe	任何	任何	TCP	任何	任何	任何	
Windows 协作计算机名称注册服务(SSDP-Out)	Windows 协作计算机名称注册服务	所有	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	1900	任何	
Windows 协作计算机名称注册服务(PNRP-Out)	Windows 协作计算机名称注册服务	所有	否	允许	%SystemRoot%\system32\svchost.exe	任何	任何	UDP	任何	3540	任何	
Windows 对等协作基础(WSD-Out)	Windows 对等协作基础	所有	否	允许	%SystemRoot%\system32\p2phost.exe	任何	本地子网	UDP	任何	3702	任何	
Windows 对等协作基础(TCP-Out)	Windows 对等协作基础	所有	否	允许	%SystemRoot%\system32\p2phost.exe	任何	任何	TCP	任何	任何	任何	
Windows 对等协作基础(SSDP-Out)	Windows 对等协作基础	所有	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	任何	1900	任何	
Windows 对等协作基础(PNRP-Out)	Windows 对等协作基础	所有	否	允许	%SystemRoot%\system32\svchost.exe	任何	任何	UDP	任何	3540	任何	
Windows Media Player 网络共享服务(UPnP-Out)	Windows Media Player 网络共享服务	专用	否	允许	System	任何	本地子网	TCP	任何	任何	任何	
Windows Media Player 网络共享服务(UPnP-Out)	Windows Media Player 网络共享服务	域, 公用	否	允许	System	任何	本地子网	TCP	任何	任何	任何	
Windows Media Player 网络共享服务(UPnPHost-Out)	Windows Media Player 网络共享服务	域, 公用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	任何	任何	任何	
Windows Media Player 网络共享服务(UPnPHost-Out)	Windows Media Player 网络共享服务	专用	否	允许	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	任何	任何	任何	
Windows Media Player 网络共享服务(UDP-Out)	Windows Media Player 网络共享服务	专用	否	允许	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	任何	本地子网	UDP	任何	任何	任何	
Windows Media Player 网络共享服务(UDP-Out)	Windows Media Player 网络共享服务	公用	否	允许	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	任何	本地子网	UDP	任何	任何	任何	
Windows Media Player 网络共享服务(UDP-Out)	Windows Media Player 网络共享服务	域	否	允许	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	任何	任何	UDP	任何	任何	任何	
Windows Media Player 网络共享服务(TCP-Out)	Windows Media Player 网络共享服务	公用	否	允许	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	任何	本地子网	TCP	任何	任何	任何	
Windows Media Player 网络共享服务(TCP-Out)	Windows Media Player 网络共享服务	专用	否	允许	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	任何	本地子网	TCP	任何	任何	任何	
Windows Media Player 网络共享服务(TCP-Out)	Windows Media Player 网络共享服务	域	否	允许	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	任何	任何	TCP	任何	任何	任何	
Windows Media Player 网络共享服务(Streaming-UDP-Out)	Windows Media Player 网络共享服务	域	否	允许	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	任何	任何	UDP	任何	任何	任何	
Windows Media Player 网络共享服务(Streaming-UDP-Out)	Windows Media Player 网络共享服务	专用	否	允许	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	任何	本地子网	UDP	任何	任何	任何	
Windows Media Player 网络共享服务(Streaming-UDP-Out)	Windows Media Player 网络共享服务	公用	否	允许	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	任何	本地子网	UDP	任何	任何	任何	
Windows Media Player 网络共享服务(Streaming-TCP-Out)	Windows Media Player 网络共享服务	公用	否	允许	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	任何	本地子网	TCP	任何	任何	任何	
